time_years,S_total,S_1mm_1cm,S_1cm_10cm,S_10cm_1m,S_1m_plus,S_400_600km,S_600_800km,S_800_1000km,S_1000_1200km,S_1200_1500km,S_1500_plus_km,cumulative_collisions,collision_rate_per_year,cascade_gain_G,cascade_multiplier_Km,collisions_this_step,fragments_generated,launches,objects_decayed,scenario,pmd_compliance
0.0,130940000.0,130000000.0,900000.0,30000.0,10000.0,19641000.0,26188000.0,39282000.0,23569200.0,15712800.0,6547000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,PMD_80,0.8
0.1,130063479.78112881,129124608.36535957,897788.2031510838,29959.169812606604,11124.042805537709,19000404.590962727,26015183.57337557,39233696.748125926,23558342.67880353,15709668.336846914,6546183.853014126,10.0,125.96602301782761,4511.0,0.06549904516609807,10.0,1100.0,1134.04,878754.2588712085,PMD_80,0.8
0.2,129209480.51942354,128271687.61771458,895628.3326667708,29918.548358058804,12246.020684124373,18380786.529223323,25843404.045680232,39185453.783476196,23547931.04799204,15706537.303103939,6545367.809947817,23.0,139.39229831770845,4070.9,0.06709823510272864,13.0,1430.0,1134.08,856563.3417052514,PMD_80,0.8
0.30000000000000004,128376993.23645884,127440266.52698328,893482.5831510169,29878.181862123274,13365.944462456438,17781458.4700703,25672764.489895735,39137176.61031004,23537524.89674891,15703516.898645714,6544551.870788141,36.0,152.74858149681137,3674.9452079411326,0.06807891969571658,13.0,1447.5770323472184,1134.12,835066.979997044,PMD_80,0.8
0.4,127568514.78140417,126632718.54574995,891473.4723593382,29838.922358484637,14483.84093639274,17201755.59760189,25505892.146609683,39089164.099229604,23527469.800341822,15700497.102098985,6543736.035522169,57.0,166.0369710827814,3329.519157602115,0.0687531647458015,21.0,4634.378795569992,1134.16,814242.9938502604,PMD_80,0.8
0.5,126777651.69985075,125842815.38872081,889437.7100165783,29798.918002714327,15599.68311067319,16641034.886208195,25337712.642421965,39040991.51979577,23517514.433945265,15697477.913342599,6542920.304136978,76.0,179.26472956243546,3007.5672418419035,0.06875029479975389,19.0,2090.0,1134.2,794087.2815533854,PMD_80,0.8
0.6000000000000001,126007022.22688687,125073081.82453676,887467.6886483614,29759.21222136141,16713.501480393505,16098894.386263898,25170429.284707278,38993460.21608027,23507784.330960363,15694349.332255423,6542104.6766196415,101.0,192.42799805415703,2717.951133916491,0.06836840927282056,25.0,2785.154064694437,1134.24,774544.8670285812,PMD_80,0.8
0.7000000000000001,125255178.78088725,124322110.68081889,885523.1846555423,29719.613462742913,17825.30195007446,15574395.728014166,25004366.040054794,38945737.09514301,23497949.384753756,15691441.379964283,6541289.152957234,125.0,205.5337174491511,2457.156020524842,0.0676659593655347,24.0,2640.0,1134.28,755617.7259996386,PMD_80,0.8
0.8,124520906.47515824,123588762.22887264,883528.934659127,29680.215577449224,18935.096049027634,15066960.684436435,24839184.84708501,38897743.55194579,23488229.64470608,15688314.013848094,6540473.733136835,142.0,218.58172405913112,2222.440418472358,0.06670147242283829,17.0,1870.0,1134.32,737276.6257289957,PMD_80,0.8
0.9,123804740.40053105,122873471.60272855,881584.8871494964,29641.017285400252,20042.89336759356,14576139.982920382,24674989.766122293,38850029.90185775,23478735.056199305,15685187.276285801,6539658.417145522,162.0,231.57471025638,2011.1963766251222,0.06552371993085306,20.0,2200.0,1134.3600000000001,719500.4346271923,PMD_80,0.8
