source_id,ra,dec,redshift,log_Lx,Lx,gamma,log_NH,NH,flux_soft,flux_hard,flux_total,HR,EW_Fe,L_opt,L_IR,SFR,alpha_OX,log_Lx_LIR,log_Lx_SFR,detection_likelihood,true_class,survey
xmm_cosmos_AGN_00000,149.6818249672071,1.6834045098534338,1.4879083211895303,43.38938855906305,2.451255375480936e+43,2.0943065614302077,23.26151492820401,1.8260595159799735e+23,8.470569672120687e-17,1.2272611194933949e-15,1.3119668162146017e-15,0.8708655584850661,150.87888757438157,2.393288019633493e+45,2.2379449356056728e+45,1.8418862551597337,0.7640088605774199,-1.9604608374917447,3.7091524040597084,28.137686473023855,AGN,XMM-COSMOS
xmm_cosmos_AGN_00001,150.285175961393,1.6996737821583596,1.543493007819908,41.5,3.1622776601683795e+41,2.1851109047190707,22.0,1e+22,6.198129276283836e-18,1.4462301644662286e-17,2.0660430920946123e-17,0.39980648685964515,47.64124096019218,7.196538718344691e+42,3.784371114954991e+42,0.26927105503454307,0.5211354878582933,-1.0779937189755557,2.654836980067302,46.10145775165638,AGN,XMM-COSMOS
xmm_cosmos_AGN_00002,149.62203823484478,1.9951769101112702,0.646937117801097,43.58873807176789,3.8791633841006643e+43,1.554701926773309,22.687849009172837,4.873590209110177e+22,3.9851202353736246e-15,1.513824563400592e-14,1.9123365869379545e-14,0.5832194835688368,496.0531690260396,3.079064076337855e+44,8.198262538181877e+44,1.5817822357836904,0.34547737153558955,-1.3249837501240336,3.9746180299117726,11.749686072173954,AGN,XMM-COSMOS
xmm_cosmos_AGN_00003,150.42187423502313,1.5884925020519196,4.0,43.31643963693443,2.072238016934403e+43,2.016804673976837,20.60443179750238,4.021904902181557e+20,4.035589417689299e-17,9.416375307941698e-17,1.3451964725630997e-16,0.39997026677701475,83.2979038385438,3.4403654293819484e+43,8.863854664490476e+44,8.727312347091214,0.08454333621508432,-1.6311829896323147,2.96058576948931,20.906734731563372,AGN,XMM-COSMOS
xmm_cosmos_AGN_00004,149.57455064367977,2.4868869366005173,0.9116322308259024,43.25911704352857,1.8160050150552195e+43,1.4564434028897717,20.140077895802644,1.3806318748957683e+20,1.3086102491234942e-15,3.0534239146214867e-15,4.362034163744981e-15,0.3999990829987387,55.29815996238961,4.2749022472571225e+44,5.026815555199833e+43,4.592424071875789,0.5267747115971443,-0.44217590678236013,3.1821017108603535,83.97418881207557,AGN,XMM-COSMOS
xmm_cosmos_AGN_00005,149.56355835028603,1.8109823217156622,0.7348669442905115,43.96569823577043,9.240558818482862e+43,2.166324537878007,20.080391238388682,1.2033479941674397e+20,1.131765213805724e-14,2.6407854988800225e-14,3.772550712685747e-14,0.39999989397096963,179.08236573265782,1.025869334159864e+45,3.6375273051340216e+44,11.215625203476604,0.4014312238365674,-0.5951080262715109,3.500901399907204,29.665710659206567,AGN,XMM-COSMOS
xmm_cosmos_AGN_00006,150.022732829382,1.9275410183585495,1.9155804005029384,44.58499202285666,3.845847179086339e+44,1.8783969635258997,23.00176644894601,1.004075682104384e+23,1.6234892025114817e-15,1.0339290030368898e-14,1.196277923288038e-14,0.7285759748990278,474.73790329497984,9.240379875795557e+45,1.0181551509349795e+47,3.034498872396554,0.5301879562576151,-2.422821939879583,4.6879316944408185,11.287388699505687,AGN,XMM-COSMOS
xmm_cosmos_AGN_00007,149.5769799098288,1.7897514529137681,3.496333768066915,42.36499963312688,2.317392692334923e+42,2.212747485201826,20.390164056081243,2.455636364718166e+20,6.2177361248451274e-18,1.4508050957971964e-17,2.0725787082817092e-17,0.39980709678470244,62.26255799061381,5.540588788512996e+43,2.4628878479670966e+43,7.444844684868367,0.5293656137302541,-1.0264450027812515,2.0781706432704468,18.79041792500314,AGN,XMM-COSMOS
xmm_cosmos_AGN_00008,150.3180147659225,2.3607305832563434,2.0799039071524805,43.76300088772775,5.79429880820143e+43,1.7410719388698883,20.756633716556678,5.709968554729275e+20,5.457711191677592e-16,1.2734659447247715e-15,1.8192370638925305e-15,0.39999780128819257,82.00799215729376,4.092364802945975e+44,1.1652083811346559e+45,2.0134735247952196,0.3260058059755493,-1.3034027120413398,4.04408161632301,10.348820459082532,AGN,XMM-COSMOS
xmm_cosmos_AGN_00009,150.20301895889517,1.863629602379294,0.3101150384687867,41.5,3.1622776601683795e+41,2.0036553831666297,22.328642741736616,2.1312909544801333e+22,2.4575633984628763e-16,7.096468929708815e-16,9.554032328171691e-16,0.4855391752914578,479.46816840367245,1.990037981662857e+42,1.3457466210818559e+43,0.3082070249859912,0.3067627643094502,-1.6289632980568527,2.59618411862705,188.38990691458497,AGN,XMM-COSMOS
