config_name,ablation,error,code_distance,physical_error_rate,seed,training_episodes,ci_95_lower,ci_95_upper,convergence_episode,logical_error_rate,stderr,training_loss,training_time_sec
extended_d15_ep200_s1,,,15,0.005,1,200,0.7310005156360254,0.8049994843639746,200,0.768,0.018877287940803362,1.1505910473180685,46.90091896057129
extended_d15_ep200_s2,,,15,0.005,2,200,0.6973622400649313,0.7746377599350687,200,0.736,0.019713142824014644,0.9843779234119902,49.862438917160034
extended_d15_ep200_s3,,,15,0.005,3,200,0.7015520133166898,0.7784479866833102,200,0.74,0.019616319736382767,1.0535433512570356,46.162132024765015
extended_d15_ep200_s4,,,15,0.005,4,200,0.7310005156360254,0.8049994843639746,200,0.768,0.018877287940803362,0.9287994248263155,46.369996070861816
extended_d15_ep200_s5,,,15,0.005,5,200,0.7331124042529199,0.8068875957470801,200,0.77,0.018820201911775546,1.1089535677036069,52.013067960739136
extended_d15_ep1000_s1,,,15,0.005,1,1000,0.7225645130925215,0.7974354869074786,1000,0.76,0.019099738218101316,1.0814278882129391,285.33859610557556
extended_d15_ep1000_s2,,,15,0.005,2,1000,0.6931765606469493,0.7708234393530506,1000,0.732,0.0198078772209442,0.9842007630841316,295.06730699539185
extended_d15_ep1000_s3,,,15,0.005,3,1000,0.7225645130925215,0.7974354869074786,1000,0.76,0.019099738218101316,0.9565400616585837,302.9673008918762
extended_d15_ep1000_s4,,,15,0.005,4,1000,0.7415718299773376,0.8144281700226624,1000,0.778,0.018585801031970613,0.9565366908940924,321.90808606147766
extended_d15_ep1000_s5,,,15,0.005,5,1000,0.7120447632071674,0.7879552367928326,1000,0.75,0.019364916731037084,1.0258928504649862,295.4966628551483
extended_d15_ep2000_s1,,,15,0.005,1,2000,0.7141465184269663,0.7898534815730337,2000,0.752,0.019313000802568203,0.9705240489146248,578.0733358860016
extended_d15_ep2000_s2,,,15,0.005,2,2000,0.7225645130925215,0.7974354869074786,2000,0.76,0.019099738218101316,0.9982431762883452,654.0339510440826
extended_d15_ep2000_s3,,,15,0.005,3,2000,0.7162493620080401,0.7917506379919599,2000,0.754,0.019260529587734602,1.039673709887078,554.0759830474854
extended_d15_ep2000_s4,,,15,0.005,4,2000,0.6869055902103638,0.7650944097896362,2000,0.726,0.01994612744369192,0.9842483771281907,531.825129032135
extended_d15_ep2000_s5,,,15,0.005,5,2000,0.7331124042529199,0.8068875957470801,2000,0.77,0.018820201911775546,0.9565195442673772,533.7065749168396
extended_d15_ep5000_s1,,,15,0.005,1,5000,0.7394551705873458,0.8125448294126543,5000,0.776,0.018645321128905233,1.0257699736324697,1365.2044990062714
extended_d15_ep5000_s2,,,15,0.005,2,5000,0.7015520133166898,0.7784479866833102,5000,0.74,0.019616319736382767,1.0952326812638042,1258.5658149719238
extended_d15_ep5000_s3,,,15,0.005,3,5000,0.6973622400649313,0.7746377599350687,5000,0.736,0.019713142824014644,1.0535665945334625,1275.4971942901611
extended_d15_ep5000_s4,,,15,0.005,4,5000,0.7246718012864269,0.7993281987135731,5000,0.762,0.01904499934365974,1.178373869688218,1248.7454028129578
extended_d15_ep5000_s5,,,15,0.005,5,5000,0.7310005156360254,0.8049994843639746,5000,0.768,0.018877287940803362,1.0397732684368968,1237.5447301864624
