config_name,ablation,error,code_distance,episodes_completed,num_samples,physical_error_rate,seed,test_distance,train_distance,training_episodes,avg_recent_reward,ci_95_lower,ci_95_upper,convergence_episode,deviation_from_benchmark,expected_benchmark,generalization_gap,logical_error_rate,logical_error_rate_mwpm,logical_error_rate_rl,mwpm_benchmark,mwpm_ci_95_lower,mwpm_ci_95_upper,mwpm_test_error_rate,relative_deviation,rl_ci_95_lower,rl_ci_95_upper,rl_vs_mwpm_at_test,rl_vs_mwpm_ratio,stderr,test_ci_95_lower,test_ci_95_upper,test_logical_error_rate,train_logical_error_rate,training_loss,training_time_sec
comparison_d3_s1,None,None,3,,,0.005,1,,,2000,,,,,,,,,0.024,0.766,0.007069469318503157,0.010584662628170696,0.0374153373718293,,,0.7288897924985591,0.8031102075014409,,31.916666666666668,,,,,,,
comparison_d3_s2,None,None,3,,,0.005,2,,,2000,,,,,,,,,0.016,0.732,0.007069469318503157,0.005001622810614285,0.026998377189385716,,,0.6931765606469493,0.7708234393530506,,45.75,,,,,,,
comparison_d3_s3,None,None,3,,,0.005,3,,,2000,,,,,,,,,0.01,0.74,0.007069469318503157,0.0012785505791755008,0.0187214494208245,,,0.7015520133166898,0.7784479866833102,,74.0,,,,,,,
comparison_d3_s4,None,None,3,,,0.005,4,,,2000,,,,,,,,,0.016,0.704,0.007069469318503157,0.005001622810614285,0.026998377189385716,,,0.6639868028170705,0.7440131971829295,,44.0,,,,,,,
comparison_d3_s5,None,None,3,,,0.005,5,,,2000,,,,,,,,,0.018,0.758,0.007069469318503157,0.006346320615359283,0.029653679384640714,,,0.7204583501268258,0.7955416498731742,,42.111111111111114,,,,,,,
comparison_d5_s1,None,None,5,,,0.005,1,,,2000,,,,,,,,,0.026,0.772,0.0034317812225743483,0.012051187978899421,0.03994881202110058,,,0.7352254689873549,0.8087745310126452,,29.692307692307693,,,,,,,
comparison_d5_s2,None,None,5,,,0.005,2,,,2000,,,,,,,,,0.022,0.772,0.0034317812225743483,0.009142639026612031,0.034857360973387964,,,0.7352254689873549,0.8087745310126452,,35.09090909090909,,,,,,,
comparison_d5_s3,None,None,5,,,0.005,3,,,2000,,,,,,,,,0.034,0.758,0.0034317812225743483,0.01811456576608622,0.049885434233913784,,,0.7204583501268258,0.7955416498731742,,22.294117647058822,,,,,,,
comparison_d5_s4,None,None,5,,,0.005,4,,,2000,,,,,,,,,0.03,0.722,0.0034317812225743483,0.01504737079975565,0.04495262920024435,,,0.6827298946881982,0.7612701053118017,,24.066666666666666,,,,,,,
comparison_d5_s5,None,None,5,,,0.005,5,,,2000,,,,,,,,,0.03,0.744,0.0034317812225743483,0.01504737079975565,0.04495262920024435,,,0.7057459413290563,0.7822540586709437,,24.8,,,,,,,
